"NID","PE","ING","AL","AD","V","A","O","D"
1.00,4.00,47298.00,9336.00,4828.00,1.00,0.00,0.00,1.00
2.00,5.00,41739.00,7490.00,3840.00,1.00,1.00,0.00,1.00
3.00,2.00,43480.00,9205.00,3624.00,0.00,1.00,0.00,1.00
4.00,3.00,36991.00,7587.00,4223.00,1.00,0.00,0.00,1.00
5.00,3.00,31259.00,6372.00,2906.00,1.00,0.00,0.00,1.00
6.00,1.00,34246.00,6871.00,5145.00,1.00,0.00,1.00,1.00
7.00,4.00,43698.00,9789.00,4377.00,0.00,1.00,0.00,1.00
8.00,2.00,55049.00,10880.00,4589.00,0.00,1.00,0.00,1.00
9.00,2.00,52371.00,9752.00,6184.00,1.00,0.00,0.00,1.00
10.00,3.00,33274.00,6507.00,3335.00,1.00,0.00,0.00,1.00
11.00,3.00,42086.00,8767.00,5219.00,1.00,0.00,0.00,1.00
12.00,3.00,34115.00,6240.00,3243.00,1.00,0.00,0.00,1.00
13.00,2.00,34306.00,7403.00,3192.00,1.00,1.00,0.00,1.00
14.00,2.00,36945.00,7396.00,4027.00,1.00,1.00,0.00,1.00
15.00,2.00,53344.00,10465.00,6383.00,0.00,0.00,0.00,1.00
16.00,3.00,40847.00,7783.00,3723.00,1.00,1.00,0.00,1.00
17.00,5.00,35899.00,7677.00,2817.00,1.00,0.00,0.00,1.00
18.00,3.00,42546.00,8181.00,5137.00,0.00,1.00,0.00,1.00
19.00,3.00,37580.00,7736.00,4491.00,0.00,1.00,0.00,1.00
20.00,2.00,40902.00,8209.00,3749.00,1.00,1.00,0.00,1.00
21.00,2.00,51243.00,11572.00,4299.00,0.00,1.00,0.00,2.00
22.00,3.00,41463.00,8675.00,4532.00,1.00,0.00,0.00,2.00
23.00,3.00,32242.00,6224.00,3258.00,0.00,0.00,0.00,2.00
24.00,3.00,39982.00,8895.00,2814.00,1.00,1.00,0.00,2.00
25.00,4.00,41524.00,10694.00,4122.00,1.00,0.00,0.00,2.00
26.00,3.00,36557.00,7455.00,3061.00,1.00,1.00,0.00,2.00
27.00,2.00,40026.00,7691.00,3284.00,0.00,0.00,0.00,2.00
28.00,3.00,38400.00,7797.00,4014.00,0.00,0.00,0.00,2.00
29.00,3.00,43282.00,8483.00,3591.00,1.00,0.00,0.00,2.00
30.00,1.00,40422.00,7734.00,4550.00,1.00,1.00,0.00,2.00
31.00,4.00,44914.00,9745.00,5599.00,1.00,0.00,0.00,3.00
32.00,3.00,45132.00,9150.00,4334.00,0.00,0.00,0.00,3.00
33.00,1.00,42784.00,8246.00,4283.00,1.00,0.00,0.00,3.00
34.00,2.00,42952.00,8056.00,4595.00,0.00,0.00,0.00,3.00
35.00,3.00,38553.00,8162.00,3491.00,1.00,1.00,0.00,3.00
36.00,4.00,37272.00,7535.00,3272.00,1.00,0.00,0.00,3.00
37.00,2.00,36197.00,6961.00,3100.00,1.00,0.00,0.00,3.00
38.00,4.00,41672.00,7656.00,3879.00,0.00,0.00,0.00,3.00
39.00,2.00,44147.00,9576.00,3663.00,1.00,1.00,0.00,3.00
40.00,2.00,35837.00,8486.00,3485.00,1.00,1.00,0.00,3.00
41.00,3.00,35255.00,7383.00,3037.00,1.00,1.00,0.00,3.00
42.00,3.00,38256.00,7781.00,3778.00,1.00,0.00,0.00,3.00
43.00,3.00,40063.00,8812.00,3914.00,0.00,0.00,0.00,3.00
44.00,3.00,43854.00,10318.00,3739.00,0.00,0.00,0.00,3.00
45.00,2.00,43094.00,9857.00,4701.00,1.00,1.00,0.00,3.00
46.00,3.00,44665.00,9362.00,3810.00,1.00,0.00,0.00,4.00
47.00,2.00,40326.00,8855.00,3608.00,1.00,0.00,0.00,4.00
48.00,4.00,32676.00,6409.00,3532.00,1.00,0.00,0.00,4.00
49.00,2.00,39957.00,7512.00,5359.00,0.00,0.00,0.00,4.00
50.00,2.00,42371.00,8130.00,4209.00,1.00,1.00,0.00,4.00
51.00,5.00,39196.00,8497.00,4515.00,1.00,0.00,0.00,4.00
52.00,3.00,37453.00,7661.00,4324.00,1.00,1.00,0.00,4.00
53.00,1.00,41680.00,8351.00,3547.00,0.00,0.00,0.00,4.00
54.00,1.00,39958.00,8243.00,3552.00,1.00,1.00,0.00,4.00
55.00,3.00,33620.00,6074.00,3178.00,1.00,1.00,0.00,4.00
56.00,6.00,45658.00,8223.00,5080.00,1.00,1.00,0.00,4.00
57.00,2.00,43913.00,8801.00,4684.00,1.00,0.00,0.00,4.00
58.00,1.00,30488.00,6399.00,3056.00,1.00,0.00,0.00,4.00
59.00,4.00,46063.00,8314.00,3755.00,1.00,1.00,0.00,4.00
60.00,2.00,41840.00,8349.00,5038.00,1.00,0.00,1.00,4.00
61.00,1.00,50378.00,10327.00,5075.00,1.00,0.00,0.00,4.00
62.00,4.00,46079.00,9967.00,5142.00,1.00,1.00,0.00,4.00
63.00,3.00,49426.00,9316.00,4376.00,1.00,1.00,0.00,4.00
64.00,4.00,39905.00,8684.00,4873.00,0.00,0.00,0.00,4.00
65.00,1.00,37015.00,7436.00,3252.00,1.00,1.00,0.00,4.00
66.00,1.00,39787.00,8181.00,3288.00,0.00,1.00,0.00,5.00
67.00,4.00,31051.00,6739.00,3430.00,0.00,0.00,1.00,5.00
68.00,4.00,39551.00,7646.00,3782.00,0.00,0.00,0.00,5.00
69.00,2.00,42076.00,7726.00,4653.00,1.00,1.00,0.00,5.00
70.00,2.00,47077.00,9582.00,4155.00,1.00,1.00,0.00,5.00
71.00,3.00,42393.00,9294.00,3243.00,1.00,0.00,0.00,5.00
72.00,4.00,40531.00,8460.00,4038.00,0.00,0.00,0.00,5.00
73.00,3.00,41843.00,9078.00,4157.00,1.00,0.00,0.00,5.00
74.00,4.00,38877.00,8167.00,3889.00,1.00,1.00,1.00,5.00
75.00,4.00,46589.00,9877.00,4873.00,1.00,1.00,0.00,5.00
76.00,2.00,41818.00,8643.00,3439.00,1.00,1.00,0.00,6.00
77.00,4.00,43092.00,9577.00,4347.00,1.00,0.00,0.00,6.00
78.00,4.00,42084.00,8738.00,4480.00,1.00,0.00,0.00,6.00
79.00,3.00,31980.00,6655.00,3308.00,0.00,0.00,0.00,6.00
80.00,4.00,44306.00,8447.00,5096.00,1.00,0.00,1.00,6.00
81.00,3.00,41973.00,8854.00,3689.00,0.00,0.00,0.00,6.00
82.00,1.00,35944.00,7870.00,3645.00,1.00,0.00,0.00,6.00
83.00,2.00,33781.00,6979.00,3163.00,1.00,0.00,0.00,6.00
84.00,4.00,42979.00,8633.00,4670.00,0.00,1.00,0.00,6.00
85.00,2.00,44014.00,9263.00,4382.00,1.00,0.00,0.00,6.00
86.00,5.00,42747.00,9240.00,4996.00,0.00,0.00,0.00,6.00
87.00,3.00,46084.00,10677.00,3198.00,1.00,0.00,0.00,6.00
88.00,4.00,44493.00,8304.00,4165.00,1.00,0.00,0.00,6.00
89.00,1.00,44916.00,9182.00,2302.00,0.00,0.00,0.00,6.00
90.00,3.00,41282.00,7779.00,4102.00,1.00,1.00,0.00,6.00
91.00,3.00,36372.00,7805.00,3553.00,0.00,0.00,0.00,7.00
92.00,5.00,46106.00,9323.00,4981.00,1.00,0.00,0.00,7.00
93.00,3.00,46845.00,8734.00,5308.00,1.00,1.00,0.00,7.00
94.00,2.00,51473.00,9618.00,5475.00,0.00,0.00,0.00,7.00
95.00,2.00,44753.00,8646.00,4746.00,1.00,0.00,0.00,7.00
96.00,3.00,41896.00,9201.00,4233.00,1.00,0.00,0.00,7.00
97.00,4.00,44893.00,9459.00,4360.00,1.00,1.00,1.00,7.00
98.00,4.00,38656.00,7261.00,3758.00,1.00,1.00,0.00,7.00
99.00,4.00,45079.00,9687.00,6574.00,1.00,0.00,0.00,7.00
